file_id,candidate_statement
[[fileID:370]],"no, i do not consent because: date: my child will recieve vaccine from the family doctor /"
[[fileID:370]],vaccination consent form / v2018 gold coast health | public health unit school immunisation program consent form year 7 consent for vaccination: parent/legal guardian to read and sign i am authorised as the parent or legal guardian of the listed child to give consent for the child to be vaccinated.
[[fileID:370]],"if i wish to change consent: - up to 2 business days before immunisation takes place at the school, i understand i need to do so by making a written request via email to gold coast public health unit at immunisegc@health.qld.gov.au"
[[fileID:370]],"yes, i consent parent/legal guardian signature:"
[[fileID:370]],"i understand that queensland health will record immunisation details, forward them to the australian immunisation register and vaccine monitoring service for the purpose of clinical follow up or disease prevention, control and monitoring."
[[fileID:370]],". - within 2 business days of immunisation, i understand that i need to send a signed written request of changes with my child to take to the school immunisation team or alternatively i need to meet in person with the school immunisation team to confirm that changes to my child's consent have been received."
[[fileID:370]],please inform us of any changes as it may be some weeks between when you provide this information and your child receiving the vaccine(s).
[[fileID:370]],i understand that i can change my consent at any time.
[[fileID:370]],"yes, i consent parent/legal guardian signature:"
[[fileID:370]],"prior to administering the vaccine(s), the nurse immuniser will ask the student if the information above needs to be updated."
[[fileID:370]],i have been given the opportunity to discuss the risks and benefits of vaccination with my doctor or by telephoning the gold coast immunisation team on 1800 940 750 or 13 health (13 43 25 84).
[[fileID:370]],gold coast health | public health unit school immunisation program consent form year 7 school class student details surname given names date of birth / / gender male medicare
[[fileID:370]],mobile email pre vaccination checklist (please tick any box that applies to your child) has previously had a reaction to a vaccine has a known medical condition faints when given an injection can be highly anxious about vaccination has severe allergies has special needs has received any vaccine recently is pregnant please provide details below if you have ticked any of the above boxes.
[[fileID:370]],parent legal guardian surname given names phone (business hours)
[[fileID:370]],/ my child has already had dtpa vaccination i do not want my child to be vaccinated office use only vaccine hpv1 dtpa
[[fileID:370]],n r l y n r l y n r l notes: hpv2 notes: vaccination consent form / v2018 date given dd/mm/
[[fileID:370]],i do not want my child to be vaccinated diphtheria-tetanus-pertussis (whooping cough) dtpa vaccine (1 dose)
[[fileID:370]],"no, i do not consent because: date: my child will recieve vaccine from the family doctor /"
