annotation,text_a,name
permission_statement,yes i consent parent legal guardian signature,Queensland_AUSTRALIA_ Immunization Consent Form HPV and TDaP (1).txt
permission_statement,if you sign your name below it means that you agree to take part in this research study,MinorAssentForm030708 (1).txt
permission_statement,i also understand that i should not consume alcohol or other drugs because they can increase these effects,Cambridge_Consent_endodontics11.txt
permission_statement,if you agree to being audiotaped but feel uncomfortable at any time during the interview i can turn off the recorder at your request,CF-Sample_Interview_Audiotape.txt
permission_statement,we may need to re contact you if we are studying a specific illness or condition that you may happen to have,Marshfield-Consent-Form-10.28.13.txt
permission_statement,if you become ill or injured from this study medical care is available at marshfield clinic st,Marshfield-Consent-Form-10.28.13.txt
permission_statement,in order to minimize the risk of unintended release of information shared data and samples will be stripped of all identifiers except for a study code to permit tracking,Marshfield-Consent-Form-10.28.13.txt
permission_statement,while we work with other researchers that are very professional alld are also concerned about confidentiality we camlot guarantee they are required to follow the same rules,Marshfield-Consent-Form-10.28.13.txt
permission_statement,your relatives will not be contacted because of information you gave us,Marshfield-Consent-Form-10.28.13.txt
permission_statement,we will code all information entered into the database,Marshfield-Consent-Form-10.28.13.txt
permission_statement,we will share coded data with these types of databases,Marshfield-Consent-Form-10.28.13.txt
permission_statement,we will protect your privacy and keep your genetic medical and other personal information confidential,Marshfield-Consent-Form-10.28.13.txt
permission_statement,we will put this information into a research database,Marshfield-Consent-Form-10.28.13.txt
permission_statement,researchers can not be forced to give out information that could identify you in any court matter,Marshfield-Consent-Form-10.28.13.txt
permission_statement,signature date time date time patient i print name signature of authorized healthcare professional obtaining witnessing patient s signature i date time print name signature of attending physician if applicable,Penn Medicine_CVC Informed Consent Document.txt
permission_statement,i assign to the university of pennsylvania health system health system all rights to any tissues organs cells body parts and or body fluids that may be removed during this procedure and i authorize the health system to use or dispose of such specimens according to its standard practices,Penn Medicine_CVC Informed Consent Document.txt
permission_statement,if any samples are left over they will be destroyed at the end of the study,Family Biorepository Consent Form_STAMPED_9.12.17.txt
permission_statement,your your surviving child s blood sample will be coded with a unique de identified number so that you your 2 of 12 approved for period 9 13 2016 9 12 2017 study s14 01061 version date 12 21 2015 surviving child cannot be identified by your your surviving child s sample,Family Biorepository Consent Form_STAMPED_9.12.17.txt
permission_statement,can i my child change my his her mind and withdraw permission to use or share my his her information,Family Biorepository Consent Form_STAMPED_9.12.17.txt
permission_statement,i agree to and understand the following i consent for treatment,CHMC_Annual Medical Care Consent  Financial Responsibility Agreement (1).txt
permission_statement,if the patient is a minor or otherwise incapable of signing this agreement i certify i am the patient s legally authorized representative and this assignment of benefits also applies to any health insurance held in patient s name,CHMC_Annual Medical Care Consent  Financial Responsibility Agreement (1).txt
permission_statement,i authorize release of any information about me or the patient that is required to submit insurance claims for the patient s care,CHMC_Annual Medical Care Consent  Financial Responsibility Agreement (1).txt
