file_id,candidate_statement
480,medical history for adult patients patient name date name of dentist office appointment date name of person completing form relationship to patient payment self pay medicaid state id phone email mailing address primary physician phone address specialist physician phone address date of birth current general health status excellent height feet inches sex good male fair female poor weight lbs
480,i also certify that carepoint may communicate patient information using the contact information listed above
480,i have read and agree to the hipaa notice of privacy practices posted on our website www carepointanesthesia com
480,i understand that providing incomplete or inaccurate information may negatively influence my treatment and treatment results
480,www carepointanesthesia com consent for anesthesia services the following is provided to inform patients and parents about having treatment under anesthesia
480,i certify that to my knowledge the patient is not pregnant or trying to become pregnant
480,i certify that the above information is complete and accurate to the best of my knowledge
480,i hereby authorize and request any doctor represented with carepoint to administer anesthesia as previously discussed with me
480,i consent to the anesthesia deemed appropriate by my anesthesiologist
480,i certify that the medical information that i have provided during this preoperative consultation is complete and accurate to the best of my knowledge
480,i acknowledge that i have read this form or had it read to me and that i understand the risks alternatives and expected results of the anesthetic plan of care
480,it has been explained to me that all types of anesthesia although safe involve some risks and no guarantees can be made concerning results
480,it has been reviewed with me and found to be complete
480,i understand and agree that procedures not talked about but deemed necessary for my child s well being may be performed to supplement the planned anesthesia
480,the information is not presented to make you more apprehensive but rather to enable you to better understand the risks and benefits involved with anesthetic treatment
480,i understand that providing incomplete or inaccurate information may negatively influence the patient s treatment and treatment results
480,patient s or legal guardian s signature date relationship to patient if patient not legally able to give consent page 2 of 3 carepoint anesthesia group llc a comfortable way to a healthy smile 8301 e prentice avenue suite 215 greenwood village co 80111 phone 720 606 4220 fax 720 606 4221 info carepointanesthesia com
617,your dentist can provide you with the necessary information and advice but as a member of the health care team you must participate in the decision making process
617,you have both the right and the obligation to make decisions regarding your health care
617,i certify that i have read or had read to me the contents of this form
617,i attest that i have had the opportunity to ask questions and all of my questions have been answered to my satisfaction
578,i understand that the type s of anesthesia service checked below will be used for my procedure and that the anesthetic technique to be used is determined by many factors including my physical condition the type of procedure my doctor is to do my doctor s preference and my own preference
578,the procedure necessary has been explained to me and i understand it to be 2
578,i have been informed of possible alternate treatment options and understand that no treatment at all is also a choice
578,it has been explained to me that sometimes and anesthesia technique which involves the use of local anesthetics with or without sedation may not succeed completely and therefore another technique may have to be used including general anesthesia
578,the doctor has explained to me that there are risks in any procedure
578,i agree a d understand i am not to have and or have not had anything to eat or drink for eight 8 hours before my surgery if i am going to be put to sleep
578,and staff to perform the following procedure and to administer the anesthesia i have chosen which is local local with oral pre medication local with nitrous oxide oxygen analgesia other treatment options i understand that certain complications may occur as a result of my surgery which include but are not limited to swelling bruising stiffness of jaw muscles and jaw joints tmj which may be long lasting or unexpected drug reactions or allergies
578,expected result measurement of vital signs availability of anesthesia provider for further intervention technique none risks increased awareness anxiety and or discomfort i hereby consent to the anesthesia service checked above and authorize that it be administered by
578,ext consent
578,g additional medical instructions signature date patient name print consent for oral and maxillofacial surgery and anesthesia i hereby authorize dr
578,date time substitute s signature relationship to patient witness consent for oral surgery using iv sedation or general anesthesia 1
