clue,definition
licence,excessive freedom; lack of due restraint
licence,freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
licence,a legal document giving official permission to do something
licence,authorize officially
concur,be in accord; be in agreement
concur,happen simultaneously
accede,yield to another's wish or opinion
accede,take on duties or office
accede,to agree or express agreement
permission,approval to do something
permission,the act of giving a formal (usually written) authorization
allow,make it possible through a specific action or lack of action for something to happen
allow,"consent to, give permission"
allow,let have
allow,give or assign a resource to a particular person or cause
allow,make a possibility or provide opportunity for; permit to be attainable or cause to remain
allow,allow or plan for a certain possibility; concede the truth or validity of something
allow,afford possibility
allow,allow the other (baseball) team to score
allow,grant as a discount or in exchange
allow,allow the presence of or allow (an activity) without opposing or prohibiting
permit,a legal document giving official permission to do something
permit,the act of giving a formal (usually written) authorization
permit,large game fish; found in waters of the West Indies
permit,"consent to, give permission"
permit,make it possible through a specific action or lack of action for something to happen
permit,allow the presence of or allow (an activity) without opposing or prohibiting
accord,harmony of people's opinions or actions or characters
accord,concurrence of opinion
accord,a written agreement between two states or sovereigns
accord,sympathetic compatibility
accord,go together
accord,allow to have
authorise,give or delegate power or authority to
authorise,grant authorization or clearance for
authorization,a document giving an official instruction or command
authorization,the power or right to give orders or make decisions
authorization,official permission or approval
authorization,the act of conferring legality or sanction or formal warrant
concede,admit (to a wrongdoing)
concede,be willing to concede
concede,give over; surrender or relinquish to the physical control of another
concede,acknowledge defeat
assent,agreement with a statement or proposal to do something
assent,to agree or express agreement
provide,give something useful or necessary to
provide,"give what is desired or needed, especially support, food or sustenance"
provide,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation"
provide,mount or put up
provide,make a possibility or provide opportunity for; permit to be attainable or cause to remain
provide,supply means of subsistence; earn a living
provide,take measures in preparation for
cede,give over; surrender or relinquish to the physical control of another
cede,relinquish possession or control over
give,the elasticity of something that can be stretched and returns to its original length
give,"cause to have, in the abstract sense or physical sense"
give,be the cause or source of
give,transfer possession of something concrete or abstract to somebody
give,convey or reveal information
give,"convey, as of a compliment, regards, attention, etc.; bestow"
give,organize or be responsible for
give,"convey or communicate; of a smile, a look, a physical gesture"
give,give as a present; make a gift of
give,cause to happen or be responsible for
give,dedicate
give,give or supply
give,transmit (knowledge or skills)
give,bring about
give,leave with; give temporarily
give,emit or utter
give,endure the loss of
give,place into the hands or custody of
give,"give entirely to a specific person, activity, or cause"
give,give (as medicine)
give,give or convey physically
give,bestow
give,"bestow, especially officially"
give,move in order to make room for someone for something
give,give food to
give,contribute to some cause
give,"break down, literally or metaphorically"
give,estimate the duration or outcome of something
give,execute and deliver
give,deliver in exchange or recompense
give,afford access to
