raw_text,clean_text
"the entire interview will be tape-recorded, but no-one will be identified by name on the tape.",the entire interview will be tape recorded but no one will be identified by name on the tape
"if the patient is going home, arrangements should be made for a responsible adult to take the patient home.  ",if the patient is going home arrangements should be made for a responsible adult to take the patient home
for more information refer to the general laws of massachusetts.  ,for more information refer to the general laws of massachusetts
in spinal anesthesia the lower part of the body is made insensitive to pain by inj ecting an anesthetic agent into the ﬂuid which bathes the spinal cord.,in spinal anesthesia the lower part of the body is made insensitive to pain by inj ecting an anesthetic agent into the uid which bathes the spinal cord
"for example, a subject may wish to withdraw from the experimental procedure because of unacceptable side effects, but may agree to undergo follow-up procedures and data collection].",for example a subject may wish to withdraw from the experimental procedure because of unacceptable side effects but may agree to undergo follow up procedures and data collection
to providers: please retain all pages of the original for medical record original – medical record medical record copy – patient/family  left  12  top  3  i have read and understand the information on this form and on the previous pages before i signed it.  ,to providers please retain all pages of the original for medical record original medical record medical record copy patient family left top i have read and understand the information on this form and on the previous pages before i signed it
* this document provides a template to follow when writing consent forms for the majority of oncology trials.,this document provides a template to follow when writing consent forms for the majority of oncology trials
do you have any of the following?,do you have any of the following
irb review of attachments is required.  ,irb review of attachments is required
what are the possible benefits?,what are the possible benefits
explain the background of the research problem.,explain the background of the research problem
please see the following hipaa language and insert applicable language for your study here.  ,please see the following hipaa language and insert applicable language for your study here
"do you know if the study will pay for your travel costs and time lost, and do you know",do you know if the study will pay for your travel costs and time lost and do you know
"even though this problem may exist, it may be undetectable at the beginning of orthodontic treatment, but through tooth movement it may exhibit itself.",even though this problem may exist it may be undetectable at the beginning of orthodontic treatment but through tooth movement it may exhibit itself
(i) payment in case you are injured because of the research study;  ,i payment in case you are injured because of the research study
(example: the research being done in the community may draw attention and if you participate you may be asked questions by other people in the community.,example the research being done in the community may draw attention and if you participate you may be asked questions by other people in the community
"if one of these conditions is suspected, your physician  should order the appropriate test.  ",if one of these conditions is suspected your physician should order the appropriate test
"however, as long as it remains in the , it will be protected by our own policies and procedures.",however as long as it remains in the it will be protected by our own policies and procedures
"when calling, please have patient’s name, date of birth, and date of service available.",when calling please have patient s name date of birth and date of service available
repair charges may be made.,repair charges may be made
text example: phase 3 randomized studies with multiple randomizations all participants in this study will be given chemotherapy and radiation therapy.,text example phase randomized studies with multiple randomizations all participants in this study will be given chemotherapy and radiation therapy
how long are the ccgp results kept in the testing lab?  ,how long are the ccgp results kept in the testing lab
"7200 e. virginia street evansville, in 47715 (812) 479-8609  consent for conscious sedation patient’s",e virginia street evansville in consent for conscious sedation patient s
i authorize and request the doctor perform such procedures as are necessary in the exercise of professional judgment.  ,i authorize and request the doctor perform such procedures as are necessary in the exercise of professional judgment
"these organizations are required to make sure your information is kept private, unless required by law to provide information.",these organizations are required to make sure your information is kept private unless required by law to provide information
the intended benefit of this treatment is to relieve my current symptoms and/or permit further planned treatment.,the intended benefit of this treatment is to relieve my current symptoms and or permit further planned treatment
are you taking any medications?,are you taking any medications
"when the research is completed, i may save the tapes and notes for use in future research done by myself or others.  ",when the research is completed i may save the tapes and notes for use in future research done by myself or others
___    clinical features; symptoms and signs (circle appropriate responses; y = yes; n = no; na = information  not available)    ,clinical features symptoms and signs circle appropriate responses y yes n no na information not available
i may have about this procedure and i can  expect knowledgeable answers.  ,i may have about this procedure and i can expect knowledgeable answers
what happens if i am injured or hurt because i took part in this study?,what happens if i am injured or hurt because i took part in this study
"if you agree to have this (insert descriptor - scan or procedure), it would involve (briefly describe procedures).",if you agree to have this insert descriptor scan or procedure it would involve briefly describe procedures
i may deliver.| understand that each cesarean birth will carry the risks associated with surgical abdominal birth.,i may deliver understand that each cesarean birth will carry the risks associated with surgical abdominal birth
autologous (self—donated) blood has the least risk of all.,autologous self donated blood has the least risk of all
"do you take prednisone, other steroids, or anticancer drugs, or have you had radiation treatments?",do you take prednisone other steroids or anticancer drugs or have you had radiation treatments
> and who have failed other treatments.,and who have failed other treatments
"contraceptive measures such as plan b (tm), sold for emergency use after unprotected sex, are not acceptable methods for routine use.",contraceptive measures such as plan b tm sold for emergency use after unprotected sex are not acceptable methods for routine use
"sometimes, combinations of these are used and your doctor can explain which may be best for you.",sometimes combinations of these are used and your doctor can explain which may be best for you
i understand that many of the physicians at the facility are neither employees nor agents of the facility.,i understand that many of the physicians at the facility are neither employees nor agents of the facility
this makes that area of the body insensitive to pain or numb.,this makes that area of the body insensitive to pain or numb
i have signed this document voluntarily and of my own free will.,i have signed this document voluntarily and of my own free will
